club_shirt,goals90,goal percentile,assists90,assist percentile,g+a90,g+a percentile,npg90,npg percentile,shots90,shot percentile,sotarget90,sot percentile,gca90,gca percentile,sca90,sca percentile,pass90,pass percentile,passcomplete90,pc%percentile,keypasses90,kp percentile,touches(att3rd)90,touches percentile,takeon90,takeon percentile,successtakeon90,successfultakeon percentile,ballrecoveries90,ballrecoveries percentile,tackleswon90,tackleswon percentile
ARS7,0.4,85,0.31,88,0.71,93,0.34,80,2.43,76,33.70%,43,0.79,94,4.56,89,40.46,74,73.70%,40,2.12,89,35.93,96,4.56,76,37.90%,28,3.59,18,0.96,57
MUN10,0.53,94,0.16,55,0.69,90,0.53,95,3.38,94,45.40%,82,0.44,66,3.06,41,25.54,15,76.70%,61,0.94,21,22.01,47,4.31,72,39.10%,31,3.13,9,0.31,5
TOT10,0.79,94,0.08,38,0.87,94,0.66,94,3.28,81,43.50%,64,0.48,82,3.46,91,24.34,62,69.70%,43,1.51,84,15.83,50,2.85,69,37%,30,2.54,43,0.32,28
NEW9,0.86,97,0.24,84,1.1,96,0.72,96,3.36,86,44.30%,69,0.48,86,2.06,40,11.6,1,66.10%,26,1.1,64,13.47,16,1.73,35,33.30%,16,1.87,14,0.14,9
MCI9,1.17,99,0.26,87,1.43,99,0.94,99,3.77,92,45.70%,76,0.55,96,2.34,53,16.25,11,72.00%,53,0.94,50,14.14,30,1.04,9,34.40%,19,1.2,1,0.07,3
BRE17,0.61,89,0.12,55,0.73,82,0.43,72,2.65,62,37.90%,44,0.24,40,2.01,36,14.27,36,59.50%,9,0.82,36,16.99,55,1.65,33,29.60%,8,3.14,67,0.4,42
MCI10,0.22,53,0.31,87,0.53,79,0.22,58,1.8,40,36.60%,57,0.88,96,4.55,88,46.95,88,84.10%,95,2.19,91,33.81,94,4.82,79,40.90%,39,4.82,58,0.7,45
ARS11,0.48,91,0.16,59,0.65,86,0.48,93,2.55,86,38.00%,64,0.55,85,4.1,81,35.72,60,75.20%,55,1.9,80,31.14,91,4.26,70,44.70%,60,3.32,12,0.58,35
MCI17,0.26,90,0.6,99,0.86,99,0.26,91,2.42,95,32.30%,56,1.15,99,6.55,99,60.55,80,73.30%,11,3.57,99,38.76,99,2.27,70,52.50%,60,3.61,1,0.45,2
ARS8,0.43,99,0.2,87,0.63,98,0.43,99,2.68,99,33.30%,62,0.49,89,4.69,97,51.92,67,80.30%,51,2.19,95,30.51,99,2.39,74,57.80%,77,5.12,20,0.66,7
MUN8,0.22,52,0.22,72,0.43,65,0.16,40,2.44,78,35.60%,48,0.49,77,5.94,98,55.07,95,73.80%,41,3.23,98,29.23,85,1.79,9,48.50%,74,6.03,85,1.14,75
ARS34,0.21,82,0.21,90,0.42,88,0.21,85,1.2,62,35.00%,66,0.51,91,3.31,82,49.07,60,84.70%,75,1.41,77,19.79,75,0.84,17,53.60%,64,4.57,7,0.81,11
MCI16,0.06,47,0.19,84,0.25,67,0.06,48,1.55,75,28.00%,47,0.31,64,2.84,62,92.35,99,91.20%,99,0.99,52,18.3,68,1.14,34,67.60%,89,9.31,99,1.27,56
BRI25,0.03,32,0.03,27,0.06,18,0.03,33,0.8,30,28.60%,51,0.14,28,2.52,50,64.54,86,88.50%,94,1.23,66,16,59,1.55,45,51.90%,57,7.11,80,1.43,66
WHU41,0.11,60,0.03,26,0.14,43,0.11,61,0.96,37,22.90%,30,0.17,35,2.75,60,58.71,78,86.50%,85,1.02,55,11.91,37,1.73,50,55.60%,70,9.18,98,1.04,30
ARS6,0.08,80,0,32,0.08,59,0.08,80,0.84,88,28.10%,56,0.05,41,0.63,28,,,,,,,,,,,,,,,,
MCI25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LIV4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
