club_shirt,season,total_shots,shots_on_target,shots_90,goals_shot,attempted_takeon,successful_takeon
ARS7,2022-2023,86,29,2.43,0.14,159,61
ARS7,2021-2022,95,29,2.87,0.09,102,43
MUN10,2021-2022,22,12,1.6,0.18,53,22
MUN10,2022-2023,108,49,3.38,0.35,138,54
TOT10,2022-2023,124,54,3.28,0.2,108,40
TOT10,2021-2022,129,49,3.59,0.1,100,54
NEW9,2021-2022,33,12,2.14,0.18,21,10
NEW9,2022-2023,70,31,3.36,0.21,36,12
MCI9,2022-2023,116,53,3.77,0.25,32,11
MCI9,2021-2022,74,31,3.49,0.22,24,13
BRE17,2021-2022,83,24,2.57,0.08,50,24
BRE17,2022-2023,87,33,2.65,0.16,54,16
MCI10,2021-2022,45,16,2.12,0.07,68,40
MCI10,2022-2023,41,15,1.8,0.12,110,45
ARS11,2022-2023,79,30,2.55,0.19,132,59
ARS11,2021-2022,51,15,2.47,0.1,79,45
MCI17,2021-2022,78,31,3.19,0.19,55,31
MCI17,2022-2023,65,21,2.42,0.11,61,32
ARS8,2022-2023,93,31,2.68,0.16,83,48
ARS8,2021-2022,53,21,1.71,0.13,46,25
MUN8,2021-2022,87,29,2.52,0.11,52,26
MUN8,2022-2023,90,32,2.44,0.07,66,32
ARS34,2022-2023,40,14,1.2,0.18,28,15
ARS34,2021-2022,27,5,1.04,0.04,26,19
MCI16,2021-2022,45,14,1.4,0.16,22,12
MCI16,2022-2023,50,14,1.55,0.04,37,25
BRI25,2022-2023,28,8,0.8,0.04,54,28
BRI25,2021-2022,10,4,1.36,0.1,10,7
WHU41,2021-2022,26,8,0.74,0.04,72,50
WHU41,2022-2023,35,8,0.96,0.11,63,35
ARS6,2022-2023,32,9,0.84,0.09,3,2
ARS6,2021-2022,29,12,0.85,0.17,4,4
MCI25,2021-2022,13,3,0.52,0.08,9,8
MCI25,2022-2023,15,2,0.59,0,12,6
LIV4,2022-2023,30,9,0.95,0.1,1,1
LIV4,2021-2022,35,14,1.03,0.09,8,6
