CLUB_SHIRT,SEASON,passes,completed_passes,key_passes,touches,touches_attacking_3rd
ARS7,2022-2023,1430,1054,75,1880,1269
ARS7,2021-2022,1196,893,68,1631,979
MUN10,2022-2023,817,627,30,1212,704
MUN10,2021-2022,424,304,9,570,310
TOT10,2022-2023,922,643,57,1329,599
TOT10,2021-2022,945,637,49,1387,639
NEW9,2021-2022,159,107,10,320,169
NEW9,2022-2023,242,160,23,482,281
MCI9,2021-2022,476,331,23,701,365
MCI9,2022-2023,500,360,29,763,435
BRE17,2021-2022,779,440,43,1198,550
BRE17,2022-2023,787,468,27,1219,557
MCI10,2021-2022,971,833,53,1173,761
MCI10,2022-2023,1072,902,50,1308,772
ARS11,2021-2022,611,439,34,898,556
ARS11,2022-2023,1107,833,59,1490,965
MCI17,2021-2022,1568,1170,87,1821,1027
MCI17,2022-2023,1626,1192,96,1860,1041
ARS8,2021-2022,1633,1368,77,1867,796
ARS8,2022-2023,1805,1450,76,2101,1061
MUN8,2021-2022,2093,1549,88,2445,965
MUN8,2022-2023,2029,1498,119,2407,1077
ARS34,2021-2022,1589,1367,32,1786,461
ARS34,2022-2023,1631,1381,47,1890,658
MCI16,2021-2022,2887,2640,29,3171,622
MCI16,2022-2023,2987,2723,32,3272,592
BRI25,2021-2022,275,225,4,358,91
BRI25,2022-2023,2250,1992,43,2602,558
WHU41,2021-2022,2197,1986,24,2548,400
WHU41,2022-2023,2129,1840,37,2468,433
ARS6,2021-2022,2049,1828,9,2343,100
ARS6,2022-2023,2411,2155,5,2775,215
MCI25,2021-2022,2013,1819,2,2195,65
MCI25,2022-2023,2056,1912,7,2231,176
LIV4,2021-2022,2655,2376,9,2894,90
LIV4,2022-2023,2592,2345,7,2876,128
