last_name,club_code,shirt_number,club_shirt,season
Saka,ARS,7,ARS7,2022-2023
Saka,ARS,7,ARS7,2021-2022
Rashford,MUN,10,MUN10,2022-2023
Rashford,MUN,10,MUN10,2021-2022
Kane,TOT,10,TOT10,2022-2023
Kane,TOT,10,TOT10,2021-2022
Wilson,NEW,9,NEW9,2022-2023
Wilson,NEW,9,NEW9,2021-2022
Haaland,MCI,9,MCI9,2022-2023
Haaland,MCI,9,MCI9,2021-2022
Toney,BRE,17,BRE17,2022-2023
Toney,BRE,17,BRE17,2021-2022
Grealish,MCI,10,MCI10,2022-2023
Grealish,MCI,10,MCI10,2021-2022
Martinelli,ARS,11,ARS11,2022-2023
Martinelli,ARS,11,ARS11,2021-2022
De Bruyne,MCI,17,MCI17,2022-2023
De Bruyne,MCI,17,MCI17,2021-2022
Odegaard,ARS,8,ARS8,2022-2023
Odegaard,ARS,8,ARS8,2021-2022
Fernandes,MUN,8,MUN8,2022-2023
Fernandes,MUN,8,MUN8,2021-2022
Xhaka,ARS,34,ARS34,2022-2023
Xhaka,ARS,34,ARS34,2021-2022
Rodri,MCI,16,MCI16,2022-2023
Rodri,MCI,16,MCI16,2021-2022
Caicedo,BRI,25,BRI25,2022-2023
Caicedo,BRI,25,BRI25,2021-2022
Rice,WHU,41,WHU41,2022-2023
Rice,WHU,41,WHU41,2021-2022
Gabriel,ARS,6,ARS6,2022-2023
Gabriel,ARS,6,ARS6,2021-2022
Akanji,MCI,25,MCI25,2022-2023
Akanji,MCI,25,MCI25,2021-2022
van Dijk,LIV,4,LIV4,2022-2023
van Dijk,LIV,4,LIV4,2021-2022
