CLUB_SHIRT,SEASON,YELLOW,RED,BALL_RECOVERIES,TACKLES,TACKLES_WON,INTERCEPTION
ARS7,2022-2023,6,0,127,63,34,14
ARS7,2021-2022,6,0,141,40,21,22
MUN10,2022-2023,2,0,97,20,10,7
MUN10,2021-2022,2,0,44,6,5,5
TOT10,2022-2023,6,0,90,15,12,2
TOT10,2021-2022,5,0,92,15,5,3
NEW9,2021-2022,4,0,28,9,8,3
NEW9,2022-2023,4,0,39,9,3,1
MCI9,2021-2022,3,0,40,2,1,1
MCI9,2022-2023,5,0,37,3,2,3
BRE17,2021-2022,8,0,105,33,21,14
BRE17,2022-2023,9,0,103,23,13,14
MCI10,2021-2022,3,0,63,18,17,8
MCI10,2022-2023,4,0,110,25,16,7
ARS11,2021-2022,3,1,86,27,19,20
ARS11,2022-2023,3,0,103,31,18,9
MCI17,2021-2022,2,0,114,32,16,6
MCI17,2022-2023,1,0,97,28,12,9
ARS8,2021-2022,4,0,162,49,21,11
ARS8,2022-2023,4,0,178,36,23,6
MUN8,2021-2022,10,0,180,54,28,17
MUN8,2022-2023,6,0,222,68,42,25
ARS34,2021-2022,10,1,146,32,18,21
ARS34,2022-2023,4,0,152,34,27,15
MCI16,2021-2022,5,0,292,72,43,28
MCI16,2022-2023,5,0,301,67,41,33
BRI25,2021-2022,2,0,56,16,10,10
BRI25,2022-2023,10,0,247,100,50,56
WHU41,2021-2022,8,0,286,80,42,63
WHU41,2022-2023,5,0,334,79,38,62
ARS6,2021-2022,8,1,178,50,30,13
ARS6,2022-2023,5,0,191,48,30,32
MCI25,2021-2022,3,0,164,33,23,35
MCI25,2022-2023,2,0,136,36,25,16
LIV4,2021-2022,3,0,204,16,10,31
LIV4,2022-2023,3,0,168,27,14,31
